列車番号,運用番号,電鉄出雲市,科,大津町,武,川跡,寺,美,旅,雲州平田,布,湖,園,一畑口,伊,津ノ森,宮,ﾌｫ,秋鹿町,長,朝,ガーデン前,松江温泉,出雲大社前,公,遥,高,川跡
201,F,,,,,,,,,616,620,621,623,627,630,632,635,637,640,642,645,648,653,,,,,
301,A,627,629,631,634,636,639,641,644,647,651,652,654,700,702,705,708,710,712,715,718,721,726,,,,,
303,B,708,710,712,715,718,721,723,726,736,740,742,744,747,750,753,756,758,800,803,806,809,814,,,,,
305,C,742,744,746,749,752,755,757,800,803,807,808,810,818,820,823,826,828,830,833,836,839,844,,,,,
307,F,826,828,830,833,838,841,843,846,849,853,855,856,900,903,906,908,911,913,916,918,921,926,,,,,
503,A,913,915,917,920,921,,,,,,,,,,,,,,,,,,,,,,
701,B,,,,,925,928,930,933,936,940,942,943,947,950,953,955,957,1000,1002,1005,1008,1013,,,,,
ト505,G,937,938,940,942,943,,,,,,,,,,,,,,,,,,,,,,
2001,C,,,,,1008,1010,1011,1012,1013,,,,,,,,,,,,,,,,,,
509,G,1025,1027,1029,1032,1033,,,,,,,,,,,,,,,,,,,,,,
703,F,,,,,1037,1040,1042,1045,1048,1052,1054,1055,1059,1102,1105,1107,1110,1112,1115,1117,1120,1126,,,,,
513,A,1125,1127,1129,1132,1133,,,,,,,,,,,,,,,,,,,,,,
705,B,,,,,1137,1140,1142,1145,1148,1152,1154,1155,1159,1202,1205,1207,1210,1212,1215,1217,1220,1226,,,,,
517,G,1225,1227,1229,1232,1233,,,,,,,,,,,,,,,,,,,,,,
707,F,,,,,1237,1240,1242,1245,1248,1252,1254,1255,1259,1302,1305,1307,1310,1312,1315,1317,1320,1326,,,,,
521,A,1325,1327,1329,1332,1333,,,,,,,,,,,,,,,,,,,,,,
709,B,,,,,1337,1340,1342,1345,1348,1352,1354,1355,1359,1402,1405,1407,1410,1412,1415,1417,1420,1426,,,,,
キ103,C,,,,,1416,1418,1419,1420,1423,1427,1428,1429,1431,1433,1436,1437,1440,1442,1444,1446,1450,1455,,,,,
525,G,1425,1427,1429,1432,1433,,,,,,,,,,,,,,,,,,,,,,
711,F,,,,,1437,1440,1442,1445,1448,1452,1454,1455,1459,1502,1505,1507,1510,1512,1515,1517,1520,1526,,,,,
529,A,1525,1527,1529,1532,1533,,,,,,,,,,,,,,,,,,,,,,
713,B,,,,,1537,1540,1542,1545,1548,1552,1554,1555,1559,1602,1605,1607,1610,1612,1615,1617,1620,1626,,,,,
533,G,1625,1627,1629,1632,1633,,,,,,,,,,,,,,,,,,,,,,
715,C,,,,,1636,1639,1641,1644,1647,1651,1653,1654,1658,1701,1704,1706,1708,1711,1713,1716,1719,1724,,,,,
309,A,1713,1715,1717,1720,1722,1725,1727,1730,1733,1737,1738,1740,1744,1747,1749,1752,1754,1757,1759,1802,1805,1810,,,,,
311,B,1808,1810,1812,1815,1817,1820,1822,1825,1828,1832,1833,1835,1839,1842,1845,1847,1849,1852,1855,1857,1900,1905,,,,,
313,C,1903,1905,1907,1910,1912,1915,1917,1920,1923,1927,1928,1930,1934,1937,1940,1942,1944,1947,1950,1952,1955,2000,,,,,
315,A,1958,2000,2002,2005,2007,2010,2012,2015,2018,2022,2023,2025,2029,2032,2035,2037,2039,2042,2045,2047,2050,2055,,,,,
317,B,2053,2055,2057,2100,2102,2105,2107,2110,2113,2117,2118,2120,2124,2127,2130,2132,2134,2137,2140,2142,2145,2150,,,,,
203,C,2148,2150,2152,2155,2157,2200,2202,2205,2207,,,,,,,,,,,,,,,,,,
1,G,,,,,,,,,,,,,,,,,,,,,,,623,625,628,631,634
3,G,,,,,,,,,,,,,,,,,,,,,,,704,706,709,712,715
5,G,,,,,,,,,,,,,,,,,,,,,,,738,740,743,746,749
7,G,,,,,,,,,,,,,,,,,,,,,,,822,824,827,830,833
501,G,,,,,,,,,,,,,,,,,,,,,,,908,910,913,916,919
2001,C,,,,,,,,,,,,,,,,,,,,,,,1000,1002,1003,1005,1008
507,A,,,,,,,,,,,,,,,,,,,,,,,1020,1022,1025,1028,1031
511,G,,,,,,,,,,,,,,,,,,,,,,,1120,1122,1125,1128,1131
515,A,,,,,,,,,,,,,,,,,,,,,,,1220,1222,1225,1228,1231
519,G,,,,,,,,,,,,,,,,,,,,,,,1320,1322,1325,1328,1331
キ103,C,,,,,,,,,,,,,,,,,,,,,,,1408,1410,1411,1413,1416
523,A,,,,,,,,,,,,,,,,,,,,,,,1420,1422,1425,1428,1431
527,G,,,,,,,,,,,,,,,,,,,,,,,1520,1522,1525,1528,1531
531,A,,,,,,,,,,,,,,,,,,,,,,,1620,1622,1625,1628,1631
9,G,,,,,,,,,,,,,,,,,,,,,,,1708,1710,1713,1716,1719
11,G,,,,,,,,,,,,,,,,,,,,,,,1804,1806,1809,1812,1815
13,G,,,,,,,,,,,,,,,,,,,,,,,1859,1901,1904,1907,1910
15,G,,,,,,,,,,,,,,,,,,,,,,,1954,1956,1959,2002,2005
17,G,,,,,,,,,,,,,,,,,,,,,,,2049,2051,2054,2057,2100
19,G,,,,,,,,,,,,,,,,,,,,,,,2144,2146,2149,2152,2155
