列車番号,1,2,3,id,松江温泉,ガーデン前,朝,長,秋鹿町,ﾌｫ,宮,津ノ森,伊,一畑口,園,湖,布,雲州平田,旅,美,寺,,武,大津町,科,電鉄出雲市,川跡,高,遥,公,出雲大社前
201,F,,,down,653,648,645,642,640,637,635,632,630,627,623,621,620,616,,,,,,,,,,,,,
301,A,,,down,726,721,718,715,712,710,708,705,702,700,654,652,651,647,644,641,639,637,634,631,629,627,,,,,
303,B,,,down,814,809,806,803,800,758,756,753,750,747,744,742,740,736,726,723,721,719,715,712,710,708,,,,,
305,C,,,down,844,839,836,833,830,828,826,823,820,818,810,808,807,803,800,757,755,753,749,746,744,742,,,,,
307,F,,,down,926,921,918,916,913,911,908,906,903,900,856,855,853,849,846,843,841,839,833,830,828,826,,,,,
503,A,,,down,,,,,,,,,,,,,,,,,,921,920,917,915,913,,,,,
701,B,,,down,1013,1008,1005,1002,1000,957,955,953,950,947,943,942,940,936,933,930,928,926,,,,,,,,,
ト505,G,,,down,,,,,,,,,,,,,,,,,,943,942,940,938,937,,,,,
2001,C,,,down,,,,,,,,,,,,,,1013,1012,1011,1010,1008,,,,,,,,,
509,G,,,down,,,,,,,,,,,,,,,,,,1033,1032,1029,1027,1025,,,,,
703,F,,,down,1126,1120,1117,1115,1112,1110,1107,1105,1102,1059,1055,1054,1052,1048,1045,1042,1040,1038,,,,,,,,,
513,A,,,down,,,,,,,,,,,,,,,,,,1133,1132,1129,1127,1125,,,,,
705,B,,,down,1226,1220,1217,1215,1212,1210,1207,1205,1202,1159,1155,1154,1152,1148,1145,1142,1140,1138,,,,,,,,,
517,G,,,down,,,,,,,,,,,,,,,,,,1233,1232,1229,1227,1225,,,,,
707,F,,,down,1326,1320,1317,1315,1312,1310,1307,1305,1302,1259,1255,1254,1252,1248,1245,1242,1240,1238,,,,,,,,,
521,A,,,down,,,,,,,,,,,,,,,,,,1333,1332,1329,1327,1325,,,,,
709,B,,,down,1426,1420,1417,1415,1412,1410,1407,1405,1402,1359,1355,1354,1352,1348,1345,1342,1340,1338,,,,,,,,,
キ103,C,,,down,1455,1450,1446,1444,1442,1440,1437,1436,1433,1431,1429,1428,1427,1423,1420,1419,1418,1416,,,,,,,,,
525,G,,,down,,,,,,,,,,,,,,,,,,1433,1432,1429,1427,1425,,,,,
711,F,,,down,1526,1520,1517,1515,1512,1510,1507,1505,1502,1459,1455,1454,1452,1448,1445,1442,1440,1438,,,,,,,,,
529,A,,,down,,,,,,,,,,,,,,,,,,1533,1532,1529,1527,1525,,,,,
713,A,,,down,1626,1620,1617,1615,1612,1610,1607,1605,1602,1559,1555,1554,1552,1548,1545,1542,1540,1538,,,,,,,,,
1301,i,,,down,1712,1706,1703,1701,1658,1656,1653,1651,1639,1637,1632,1630,1629,1625,1617,1614,1612,1610,1607,1604,1602,1600,,,,,
533,B,,,down,,,,,,,,,,,,,,,,,,1633,1632,1629,1627,1625,,,,,
715,B,,,down,1724,1719,1716,1713,1711,1708,1706,1704,1701,1658,1654,1653,1651,1647,1644,1641,1639,1637,,,,,,,,,
1303,E,,,down,1756,1751,1748,1745,1743,1740,1738,1735,1733,1730,1726,1724,1723,1719,,,,,,,,,,,,,
309,H,,,down,1810,1805,1802,1759,1757,1754,1752,1749,1747,1744,1740,1738,1737,1733,1730,1727,1725,1723,1720,1717,1715,1713,,,,,
1305,C,,,down,1844,1839,1836,1833,1831,1828,1826,1823,1821,1818,1814,1812,1811,1807,1802,1759,1757,1755,1750,1747,1745,1743,,,,,
311,A,,,down,1905,1900,1857,1855,1852,1849,1847,1845,1842,1839,1835,1833,1832,1828,1825,1822,1820,1818,1815,1812,1810,1808,,,,,
1307,i,,,down,1930,1925,1922,1920,1917,1914,1912,1910,1907,1904,1900,1858,1857,1853,1850,1847,1845,1843,1840,1837,1835,1833,,,,,
変313,F,,,down,1952,1947,1944,1941,1939,1936,1934,1932,1929,1926,1922,1921,1919,1915,1912,1909,1907,1905,1902,1859,1857,1855,,,,,
1321,C,,,down,2104,2005,,,,,,,,,,,,,,,,,,,,,,,,,
203,B,,,down,,,,,,,,,,,,,,2023,2020,2018,2015,2013,2010,2007,2005,2003,,,,,
変315,A,,,down,2150,2145,2140,2138,2135,2133,2130,2128,2124,2121,2118,2116,2114,2110,2107,2105,2102,2100,2058,2055,2053,2051,,,,,
変205,B,,,down,,,,,,,,,,,,,,2209,2206,2204,2201,2199,2154,2151,2149,2148,,,,,
2101,F,,,down,,,,,,,,,,,,,,,,,,,2218,2215,2214,2213,,,,,
2103,C,,,down,,,,,,,,,,,,,,2257,2255,2254,253,251,2250,2247,2246,2245,,,,,
2105,H,,,down,,,,,,,,,,,,,,2314,2312,2311,2310,2308,2307,2304,2303,2302,,,,,
2105,E,,,down,,,,,,,,,,,,,,2331,2329,2328,2327,2325,2324,2321,2320,2319,,,,,
2025,F,,,down,,,,,,,,,,,,,,2337,2335,2334,3233,3231,,,,,,,,,
1,G,,,down,,,,,,,,,,,,,,,,,,,,,,,634,631,628,625,623
3,G,,,down,,,,,,,,,,,,,,,,,,,,,,,715,712,709,706,704
5,G,,,down,,,,,,,,,,,,,,,,,,,,,,,749,746,743,740,738
7,G,,,down,,,,,,,,,,,,,,,,,,,,,,,833,830,827,824,822
501,G,,,down,,,,,,,,,,,,,,,,,,,,,,,919,916,913,910,908
2001,C,,,down,,,,,,,,,,,,,,,,,,,,,,,1008,1005,1003,1002,1000
507,A,,,down,,,,,,,,,,,,,,,,,,,,,,,1031,1028,1025,1022,1020
511,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1131,1128,1125,1122,1120
515,A,,,down,,,,,,,,,,,,,,,,,,,,,,,1231,1228,1225,1222,1220
519,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1331,1328,1325,1322,1320
キ103,C,,,down,,,,,,,,,,,,,,,,,,,,,,,1416,1413,1411,1410,1408
523,A,,,down,,,,,,,,,,,,,,,,,,,,,,,1431,1428,1425,1422,1420
527,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1531,1528,1525,1522,1520
531,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1631,1628,1625,1622,1620
9,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1719,1716,1713,1710,1708
1001,F,,,down,,,,,,,,,,,,,,,,,,,,,,,1751,1748,1745,1742,1740
11,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1815,1812,1809,1806,1804
13,G,,,down,,,,,,,,,,,,,,,,,,,,,,,1910,1907,1904,1901,1859
15,G,,,down,,,,,,,,,,,,,,,,,,,,,,,2005,2002,1959,1956,1954
17,G,,,down,,,,,,,,,,,,,,,,,,,,,,,2100,2057,2054,2051,2049
19,G,,,down,,,,,,,,,,,,,,,,,,,,,,,2155,2152,2149,2146,2144
2021,G,,,down,,,,,,,,,,,,,,,,,,,,,,,2223,2220,2219,2217,2215
2023,G,,,down,,,,,,,,,,,,,,,,,,,,,,,2303,2300,2258,2257,2255
2025,F,,,down,,,,,,,,,,,,,,,,,,,,,,,2330,2327,2325,2324,2322
200,B,,,up,,,,,,,,,,,,,,626,629,631,633,636,638,642,644,645,,,,,
300,C,,,up,626,631,634,637,639,642,644,646,649,657,659,701,703,707,710,712,715,718,720,723,725,727,,,,,
302,F,,,up,659,704,707,710,712,715,717,719,722,726,729,731,732,741,744,746,748,751,753,757,759,800,,,,,
304,A,,,up,747,752,755,758,800,803,805,807,810,814,817,819,820,825,828,830,832,836,837,841,843,844,,,,,
700,B,,,up,834,839,842,845,847,850,852,854,857,901,904,906,907,912,915,917,919,921,,,,,,,,,
502,G,,,up,,,,,,,,,,,,,,,,,,924,925,929,931,932,,,,,
キ100,C,,,up,902,907,909,910,913,916,917,919,921,924,926,927,928,936,938,939,940,942,,,,,,,,,
ト506,G,,,up,,,,,,,,,,,,,,,,,,948,949,951,952,954,,,,,
702,F,,,up,945,950,953,956,959,1002,1004,1006,1009,1013,1016,1018,1019,1024,1027,1029,1031,1033,,,,,,,,,
508,A,,,up,,,,,,,,,,,,,,,,,,1036,1037,1041,1043,1044,,,,,
704,B,,,up,1045,1050,1053,1056,1058,1101,1103,1105,1108,1112,1115,1117,1118,1123,1126,1128,1130,1132,,,,,,,,,
512,G,,,up,,,,,,,,,,,,,,,,,,1136,1137,1141,1143,1144,,,,,
706,F,,,up,1145,1150,1153,1156,1158,1201,1203,1205,1208,1212,1215,1217,1218,1223,1226,1228,1230,1232,,,,,,,,,
516,A,,,up,,,,,,,,,,,,,,,,,,1236,1237,1241,1243,1244,,,,,
708,B,,,up,1245,1250,1253,1256,1258,1301,1303,1305,1308,1312,1315,1317,1318,1323,1326,1328,1330,1332,,,,,,,,,
520,G,,,up,,,,,,,,,,,,,,,,,,1336,1337,1341,1343,1344,,,,,
2000,C,,,up,,,,,,,,,,,,,,1350,1352,1353,1354,1356,,,,,,,,,
710,F,,,up,1345,1350,1353,1356,1358,1401,1403,1405,1408,1412,1415,1417,1418,1423,1426,1428,1430,1432,,,,,,,,,
524,A,,,up,,,,,,,,,,,,,,,,,,1436,1437,1441,1443,1444,,,,,
2100,i,,,up,,,,,,,,,,,,,,1515,517,1518,1519,1521,1522,1528,1530,1531,,,,,
712,B,,,up,1445,1450,1453,1456,1458,1501,1503,1505,1508,1512,1515,1517,1518,1523,1526,1528,1530,1532,,,,,,,,,
528,B,,,up,,,,,,,,,,,,,,,,,,1536,1537,1541,1543,1544,,,,,
2002,F,,,up,1538,1542,1544,1546,1548,1550,1551,1553,1555,1559,1600,1601,1602,1606,,,,,,,,,,,,,
714,C,,,up,1545,1550,1553,1556,1558,1601,1603,1605,1608,1612,1615,1617,1618,1623,1626,1628,1630,1632,,,,,,,,,
532,C,,,up,,,,,,,,,,,,,,,,,,1636,1637,1641,1643,1644,,,,,
2102,H,,,up,,,,,,,,,,,,,,1648,1650,1651,1652,1654,1655,1657,1658,1700,,,,,
2004,F,,,up,,,,,,,,,,,,,,1654,1656,1657,1658,1660,,,,,,,,,
306,A,,,up,1631,1636,1639,1642,1644,1647,1649,1651,1654,1659,1701,1703,1705,1710,1713,1715,1717,1723,1724,1728,1730,1731,,,,,
2104,F,,,up,,,,,,,,,,,,,,,,,,1753,1754,1756,1757,1759,,,,,
308,i,,,up,1729,1734,1737,1740,1742,1745,1747,1749,1752,1756,1759,1801,1802,1807,1810,1812,1814,1818,1819,1823,1825,1826,,,,,
変310,B,,,up,1800,1805,1808,1811,1813,1816,1818,1823,1826,1838,1840,1842,1844,1852,1855,1858,1900,1904,1905,1909,1911,1912,,,,,
変312,A,,,up,1920,1925,1928,1931,1938,1941,1943,1945,1948,1952,1955,1957,1958,2003,2006,2008,2010,2013,2015,2018,2020,2022,,,,,
202,i,,,up,1942,1947,1950,1953,1955,1958,2000,2002,2005,2009,2012,2014,2015,2019,,,,,,,,,,,,,
1320,C,,,up,1953,1957,,,,,,,,,,,,,,,,,,,,,,,,,
204,B,,,up,,,,,,,,,,,,,,2050,2053,2055,2057,2100,2102,2105,2107,2109,,,,,
変314,F,,,up,2105,2111,2114,2117,2120,2123,2126,2129,2132,2136,2139,2142,2144,2149,2152,2154,2156,2200,2201,2205,2207,2208,,,,,
1300,C,,,up,2120,2126,2129,2132,2135,2138,2141,2144,2147,2151,2154,2157,2159,2209,2212,2214,2216,2220,2222,2225,2227,2229,,,,,
1302,H,,,up,2140,2146,2149,2152,2155,2158,2201,2204,2207,2211,2214,2217,2219,2224,2227,2229,2231,2235,2236,2240,2242,2243,,,,,
