train_id,train_formation1,train_formation2,train_formation3,direction,松江温泉,ガーデン前,朝日ヶ丘,長江,秋鹿町,フォーゲル,高ノ宮,津ノ森,伊野灘,一畑口,園,湖遊館新駅,布崎,雲州平田,旅伏,美談,大寺,川跡,武志,大津町,科学館前,電鉄出雲市,川跡,高浜,遥堪,浜山公園北口,出雲大社前
201,E,,,down,742,737,734,731,729,726,724,721,719,716,712,710,709,705,,,,,,,,,,,,,
301,A,,,down,808,803,800,757,755,752,750,747,745,742,738,736,735,731,728,725,723,719,718,715,713,711,,,,,
303,B,,,down,851,846,843,840,838,835,833,830,828,825,821,819,818,814,811,808,806,802,801,758,756,754,,,,,
305,C,,,down,934,929,926,923,921,918,916,913,911,908,904,902,901,857,854,851,849,845,844,841,839,837,,,,,
2011,F,,,down,959,954,952,950,948,947,946,944,939,937,935,934,933,930,,,,,,,,,,,,,
307,E,,,down,1017,1012,1009,1006,1004,1001,959,957,954,951,947,945,944,940,937,934,932,926,925,922,920,918,,,,,
501,G,,,down,,,,,,,,,,,,,,,,,,1009,1008,1005,1003,1001,,,,,
101,A,,,down,1100,1055,1052,1049,1047,1044,1042,1040,1037,1034,1030,1028,1027,1023,1020,1017,1015,1013,,,,,,,,,
601,D,,,down,,,,,,,,,,,,,,,,,,1024,1023,1020,1018,1016,,,,,
503,G,,,down,,,,,,,,,,,,,,,,,,1052,1051,1048,1046,1044,,,,,
103,B,,,down,1143,1138,1135,1132,1130,1127,1125,1123,1120,1117,1113,1111,1110,1106,1103,1100,1058,1056,,,,,,,,,
505,G,,,down,,,,,,,,,,,,,,,,,,1135,1134,1131,1129,1127,,,,,
105,C,,,down,1226,1221,1218,1215,1213,1210,1208,1206,1203,1200,1156,1154,1153,1149,1146,1143,1141,1139,,,,,,,,,
603,H,,,down,,,,,,,,,,,,,,,,,,1150,1149,1146,1144,1142,,,,,
507,G,,,down,,,,,,,,,,,,,,,,,,1218,1217,1214,1212,1210,,,,,
107,E,,,down,1309,1304,1301,1258,1256,1253,1251,1249,1246,1243,1239,1237,1236,1232,1229,1226,1224,1222,,,,,,,,,
509,G,,,down,,,,,,,,,,,,,,,,,,1301,1300,1257,1255,1253,,,,,
109,A,,,down,1352,1347,1344,1341,1339,1336,1334,1332,1329,1326,1322,1320,1319,1315,1312,1309,1307,1305,,,,,,,,,
511,F,,,down,,,,,,,,,,,,,,,,,,1328,1327,1324,1322,1320,,,,,
キ111,H,,,down,1408,1403,1400,1358,1356,1354,1352,1350,1348,1346,1342,1341,1340,1336,1334,1333,1332,1330,,,,,,,,,
513,G,,,down,,,,,,,,,,,,,,,,,,1344,1343,1340,1338,1336,,,,,
113,B,,,down,1435,1430,1427,1424,1422,1419,1417,1415,1412,1409,1405,1403,1402,1358,1355,1352,1350,1348,,,,,,,,,
2001,F,,,down,,,,,,,,,,,,,,1413,1411,1410,1409,1407,1405,1403,1402,1401,,,,,
515,G,,,down,,,,,,,,,,,,,,,,,,1427,1426,1423,1421,1419,,,,,
115,C,,,down,1518,1513,1510,1507,1505,1502,1500,1458,1455,1452,1448,1446,1445,1441,1438,1435,1433,1431,,,,,,,,,
609,D,,,down,,,,,,,,,,,,,,,,,,1442,1441,1438,1436,1434,,,,,
517,G,,,down,,,,,,,,,,,,,,,,,,1510,1509,1506,1504,1502,,,,,
117,E,,,down,1601,1556,1553,1550,1548,1545,1543,1541,1538,1535,1531,1529,1528,1524,1521,1518,1516,1514,,,,,,,,,
519,G,,,down,,,,,,,,,,,,,,,,,,1553,1552,1549,1547,1545,,,,,
119,H,,,down,1644,1639,1636,1633,1631,1628,1626,1624,1621,1618,1614,1612,1611,1607,1604,1601,1559,1557,,,,,,,,,
613,D,,,down,,,,,,,,,,,,,,,,,,1608,1607,1604,1602,1600,,,,,
521,G,,,down,,,,,,,,,,,,,,,,,,1636,1635,1632,1630,1628,,,,,
121,B,,,down,1727,1722,1719,1716,1714,1711,1709,1707,1704,1701,1657,1655,1654,1650,1647,1644,1642,1640,,,,,,,,,
523,G,,,down,,,,,,,,,,,,,,,,,,1719,1718,1715,1713,1711,,,,,
123,C,,,down,1810,1805,1802,1759,1757,1754,1752,1750,1747,1744,1740,1738,1737,1733,1730,1727,1725,1723,,,,,,,,,
2003,D,,,down,,,,,,,,,,,,,,1739,1737,1736,1735,1733,1731,1729,1726,1725,,,,,
309,E,,,down,1853,1848,1845,1842,1840,1837,1835,1832,1830,1827,1823,1821,1820,1816,1813,1810,1808,1804,1803,1800,1758,1756,,,,,
311,H,,,down,1936,1931,1928,1925,1923,1920,1918,1915,1913,1910,1906,1904,1903,1859,1856,1853,1851,1847,1846,1843,1841,1839,,,,,
203,B,,,down,,,,,,,,,,,,,,1953,1951,1948,1946,1942,1941,1938,1936,1934,,,,,
313,C,,,down,2120,2115,2112,2109,2107,2104,2102,2059,2057,2054,2050,2048,2047,2043,2040,2037,2035,2031,2030,2027,2025,2023,,,,,
205,E,,,down,,,,,,,,,,,,,,2124,2122,2119,2117,2113,2112,2109,2107,2105,,,,,
1,G,,,down,,,,,,,,,,,,,,,,,,,,,,,718,715,712,709,707
3,G,,,down,,,,,,,,,,,,,,,,,,,,,,,801,758,755,752,750
5,G,,,down,,,,,,,,,,,,,,,,,,,,,,,844,841,838,835,833
7,G,,,down,,,,,,,,,,,,,,,,,,,,,,,926,923,920,917,915
101,A,,,down,,,,,,,,,,,,,,,,,,,,,,,1009,1006,1003,1000,958
103,B,,,down,,,,,,,,,,,,,,,,,,,,,,,1052,1049,1046,1043,1041
105,C,,,down,,,,,,,,,,,,,,,,,,,,,,,1135,1132,1129,1126,1124
107,E,,,down,,,,,,,,,,,,,,,,,,,,,,,1218,1215,1212,1209,1207
605,F,,,down,,,,,,,,,,,,,,,,,,,,,,,1248,1245,1242,1239,1237
109,A,,,down,,,,,,,,,,,,,,,,,,,,,,,1301,1258,1255,1252,1250
キ111,H,,,down,,,,,,,,,,,,,,,,,,,,,,,1328,1326,1324,1322,1320
