train_id,train_name,direction,松江温泉,ガーデン前,朝日ヶ丘,長江,秋鹿町,フォーゲル,高ノ宮,津ノ森,伊野灘,一畑口,園,湖遊館新駅,布崎,雲州平田,旅伏,美談,大寺,川跡,武志,大津町,科学館前,電鉄出雲市,川跡,高浜,遥堪,浜山公園北口,出雲大社前
201,F 201,down,637,632,629,626,624,621,619,616,614,611,607,605,604,600,,,,,,,,,,,,,
301,A 301,down,710,705,702,700,657,654,652,650,644,641,637,636,634,630,627,624,622,620,617,614,611,609,,,,,
303,B 303,down,743,738,735,733,730,727,725,723,720,717,713,712,710,706,703,700,658,656,651,648,646,644,,,,,
ト305,D ト305,down,755,750,748,747,745,743,742,740,738,736,734,733,732,728,726,725,724,722,720,718,716,715,,,,,
203,E 203,down,818,813,809,806,803,801,759,756,753,751,746,744,743,739,,,,,,,,,,,,,
307,C 307,down,838,833,830,827,825,822,820,817,815,812,808,806,805,801,755,752,750,748,745,742,740,738,,,,,
309,F 309,down,907,902,858,855,852,850,847,845,842,839,832,830,829,825,821,818,816,814,810,807,805,803,,,,,
2001,H 2001,down,,,,,,,,,,,,,,841,840,839,838,836,,,,,,,,,
311,A 311,down,952,947,943,940,938,934,932,930,926,923,919,917,916,912,909,906,904,902,859,856,854,852,,,,,
313,B 313,down,1034,1029,1026,1024,1021,1019,1016,1014,1011,1008,1004,1002,1001,957,953,950,948,946,943,940,938,936,,,,,
501,C 501,down,,,,,,,,,,,,,,,,,,1033,1032,1029,1027,1025,,,,,
101,G 101,down,1126,1120,1117,1115,1112,1110,1107,1105,1101,1058,1054,1053,1051,1047,1044,1041,1039,1037,,,,,,,,,
2003,E 2003,down,,,,,,,,,,,,,,1103,1102,1101,1100,1098,,,,,,,,,
315,D出 315,down,1226,1220,1217,1215,1212,1210,1207,1205,1201,1158,1154,1153,1151,1147,1144,1141,1139,1137,1132,1129,1127,1125,,,,,
317,D中 317,down,1326,1320,1317,1315,1312,1310,1307,1305,1301,1258,1254,1253,1251,1247,1244,1241,1239,1237,1232,1229,1227,1225,,,,,
319,G 319,down,1426,1420,1417,1415,1412,1410,1407,1405,1401,1358,1354,1353,1351,1347,1344,1341,1339,1337,1332,1329,1327,1325,,,,,
キ103,E キ103,down,1455,1450,1446,1444,1442,1440,1437,1436,1433,1431,1429,1428,1427,1423,1420,1419,1418,1416,,,,,,,,,
321,D出 321,down,1526,1520,1517,1515,1512,1510,1507,1505,1501,1458,1454,1453,1451,1447,1444,1441,1439,1437,1432,1429,1427,1425,,,,,
503,D中 503,down,,,,,,,,,,,,,,,,,,1533,1532,1529,1527,1525,,,,,
103,C 103,down,1626,1620,1617,1615,1612,1610,1607,1605,1601,1558,1554,1553,1551,1547,1544,1541,1539,1537,,,,,,,,,
323,B 323,down,1726,1720,1717,1715,1712,1710,1707,1705,1701,1658,1654,1653,1651,1647,1644,1641,1639,1637,1632,1629,1627,1625,,,,,
325,A 325,down,1827,1822,1819,1817,1814,1811,1809,1807,1804,1801,1757,1756,1754,1750,1747,1745,1742,1740,1737,1734,1732,1730,,,,,
327,E 327,down,1910,1905,1902,1859,1856,1854,1852,1849,1846,1843,1840,1838,1836,1832,1828,1826,1823,1821,1818,1815,1813,1811,,,,,
キ205,C キ205,down,,,,,,,,,,,,,,1853,1851,1850,1849,1847,1845,1843,1839,1838,,,,,
329,B 329,down,1952,1947,1944,1941,1939,1936,1934,1931,1929,1926,1922,1920,1919,1915,1912,1909,1907,1905,1902,1859,1857,1855,,,,,
キ105,D中 キ105,down,,,,,,,,,,,,,,1936,1934,1933,1932,1930,,,,,,,,,
331,D出+G 331,down,2034,2029,2026,2024,2021,2019,2016,2014,2011,2008,2005,2003,2001,1957,1954,1952,1949,1947,1944,1941,1939,1937,,,,,
333,A 333,down,2117,2112,2109,2106,2103,2101,2059,2056,2053,2050,2047,2045,2043,2039,2036,2034,2032,2030,2026,2023,2021,2019,,,,,
335,E 335,down,2159,2154,2151,2148,2146,2143,2141,2139,2136,2133,2129,2128,2126,2122,2119,2116,2114,2112,2109,2106,2104,2102,,,,,
337,B 337,down,2241,2236,2233,2231,2228,2226,2223,2221,2218,2215,2212,2210,2208,2204,2201,2159,2156,2154,2151,2148,2146,2144,,,,,
207,D出+G 207,down,,,,,,,,,,,,,,2246,2244,2241,2239,2237,2234,2231,2229,2227,,,,,
209,A 209,down,,,,,,,,,,,,,,2315,2312,2310,2308,2306,2302,2259,2257,2255,,,,,
